dishID,dishname,prep_time,ingre_list,num_servings,nutri_guide,skills_needed,age_range,meal_type
101,Grilled Chicken Salad,30,"Chicken breast, Lettuce, Olive oil, Salt, Pepper",4-5,"Calories: 300, Protein: 25g, Carbs: 20g, Fats: 10g",Intermediate,Adults,"Vegetable Dishes, Soup, Appetizer"
102,Spaghetti Bolognese,45,"Spaghetti, Ground beef, Tomato sauce, Garlic, Onion",2-3,"Calories: 450, Protein: 30g, Carbs: 50g, Fats: 15g",Advanced,Teens,Soup
103,Vegetarian Stir Fry,20,"Bell peppers, Broccoli, Soy sauce, Tofu, Garlic",4-5,"Calories: 200, Protein: 15g, Carbs: 30g, Fats: 5g",Beginner,Kids,Vegetable Dishes
104,Beef Tacos,25,"Ground beef, Taco shells, Lettuce, Tomato, Cheese",2-3,"Calories: 400, Protein: 35g, Carbs: 40g, Fats: 20g",Intermediate,Adults,Soup
105,Pancake Breakfast,15,"Flour, Eggs, Milk, Butter, Syrup",2-3,"Calories: 350, Protein: 12g, Carbs: 50g, Fats: 10g",Beginner,Kids,Soup
106,Chicken Alfredo Pasta,40,"Chicken breast, Alfredo sauce, Fettuccine pasta, Parmesan cheese",4-5,"Calories: 500, Protein: 30g, Carbs: 60g, Fats: 20g",Intermediate,"Adults, Teens","Vegetable with Seafood, Soup"
107,Quinoa Salad,20,"Quinoa, Cucumbers, Tomatoes, Lemon, Olive oil",2-3,"Calories: 250, Protein: 10g, Carbs: 35g, Fats: 8g",Beginner,"Kids, Adults",Vegetable Dishes
108,BBQ Pulled Pork Sandwich,35,"Pork shoulder, BBQ sauce, Burger buns, Coleslaw",4-5,"Calories: 600, Protein: 40g, Carbs: 50g, Fats: 25g",Intermediate,Adults,Vegetable with Seafood
109,Vegetable Lasagna,60,"Lasagna noodles, Marinara sauce, Zucchini, Spinach, Mozzarella",4-5,"Calories: 400, Protein: 25g, Carbs: 45g, Fats: 15g",Advanced,"Adults, Teens","Vegetable with Seafood, Soup"
110,Omelette,15,"Eggs, Cheese, Onions, Peppers",4-5,"Calories: 200, Protein: 15g, Carbs: 5g, Fats: 10g",Beginner,"Kids, Teens",Vegetable with Seafood
111,Fruit Yogurt Parfait,10,"Greek yogurt, Strawberries, Blueberries, Granola, Honey",2-3,"Calories: 150, Protein: 8g, Carbs: 25g, Fats: 5g",Beginner,"Kids, Teens",Vegetable with Seafood
112,Mushroom Risotto,45,"Arborio rice, Mushrooms, Parmesan cheese, White wine, Garlic",2-3,"Calories: 350, Protein: 15g, Carbs: 50g, Fats: 10g",Advanced,Adults,Vegetable with Meat
113,Grilled Cheese Sandwich,10,"Bread, Cheddar cheese, Butter",4-5,"Calories: 300, Protein: 12g, Carbs: 35g, Fats: 12g",Beginner,Kids,Vegetable with Seafood
114,Tomato Basil Soup,25,"Tomatoes, Basil, Garlic, Vegetable broth, Olive oil",4-5,"Calories: 180, Protein: 8g, Carbs: 30g, Fats: 6g",Beginner,"Teens, Adults",Vegetable Dishes
115,Chicken Caesar Wrap,20,"Chicken breast, Romaine lettuce, Caesar dressing, Tortilla wraps",2-3,"Calories: 350, Protein: 20g, Carbs: 30g, Fats: 15g",Intermediate,Adults,Vegetable Dishes
116,Adobo,60,"Chicken or Pork, Soy sauce, Vinegar, Garlic, Bay leaves",4-5,"Calories: 400, Protein: 30g, Carbs: 5g, Fats: 25g",Intermediate,"Adults, Teens",Vegetable with Meat
117,Sinigang na Baboy,90,"Pork, Tamarind, Tomatoes, Radish, Spinach",4-5,"Calories: 350, Protein: 25g, Carbs: 15g, Fats: 20g",Intermediate,"Adults, Kids",Soup
118,Pancit Canton,45,"Noodles, Chicken, Shrimp, Carrots, Soy sauce",2-3,"Calories: 500, Protein: 30g, Carbs: 70g, Fats: 15g",Intermediate,"Teens, Adults",Vegetable with Meat
119,Lumpiang Shanghai,30,"Ground pork, Carrots, Green onions, Wrappers",2-3,"Calories: 300, Protein: 20g, Carbs: 15g, Fats: 18g",Advanced,"Kids, Adults",Appetizer
120,Kare-Kare,120,"Oxtail, Peanut butter, Eggplant, String beans, Rice",4-5,"Calories: 600, Protein: 40g, Carbs: 50g, Fats: 35g",Advanced,Adults,Vegetable with Meat
121,Halo-Halo,20,"Shaved ice, Evaporated milk, Sweet beans, Fruits",2-3,"Calories: 250, Protein: 5g, Carbs: 45g, Fats: 7g",Beginner,"Kids, Teens",Dessert
122,Bibingka,45,"Rice flour, Coconut milk, Sugar, Eggs, Cheese",2-3,"Calories: 200, Protein: 4g, Carbs: 30g, Fats: 8g",Intermediate,"Kids, Adults",Dessert
123,Bicol Express,45,"Pork, Coconut milk, Chili peppers, Shrimp paste",2-3,"Calories: 500, Protein: 30g, Carbs: 10g, Fats: 40g",Advanced,Adults,Vegetable with Meat
124,Puto,30,"Rice flour, Sugar, Coconut milk, Baking powder",2-3,"Calories: 150, Protein: 3g, Carbs: 30g, Fats: 2g",Beginner,Kids,Dessert
125,Tinola,60,"Chicken, Ginger, Green papaya, Spinach, Fish sauce",4-5,"Calories: 350, Protein: 25g, Carbs: 10g, Fats: 15g",Intermediate,"Adults, Teens",Soup
126,Chicken Inasal,60,"Chicken, Lemongrass, Garlic, Soy sauce, Calamansi",4-5,"Calories: 450, Protein: 35g, Carbs: 5g, Fats: 30g",Intermediate,"Adults, Teens",Vegetable with Meat
127,Ginisang Munggo,40,"Mung beans, Spinach, Tomatoes, Garlic, Onion",4-5,"Calories: 250, Protein: 15g, Carbs: 30g, Fats: 5g",Intermediate,"Adults, Kids",Vegetable Dishes
128,Pochero,90,"Beef shank, Plantains, Potatoes, Cabbage, Tomato sauce",4-5,"Calories: 600, Protein: 40g, Carbs: 50g, Fats: 30g",Advanced,Adults,"Vegetable with Meat, Soup"
129,Chopsuey,30,"Mixed vegetables, Chicken or Pork, Soy sauce",2-3,"Calories: 300, Protein: 20g, Carbs: 40g, Fats: 10g",Intermediate,"Teens, Adults",Vegetable Dishes
130,Tapsilog,30,"Beef tapa, Fried rice, Egg, Garlic",2-3,"Calories: 500, Protein: 30g, Carbs: 60g, Fats: 20g",Intermediate,"Adults, Teens",Vegetable with Meat
131,Buko Pandan,20,"Young coconut, Pandan jelly, Sweetened cream",2-3,"Calories: 300, Protein: 3g, Carbs: 40g, Fats: 15g",Beginner,"Kids, Teens",Dessert
